Categories,Available Services,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
"Electronics -> Car Audio, Video & Electronics -> Stereos", SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics -> Car Audio, Video & Electronics -> Video", SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celluar Phones,  ,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,22.25,24.19,26.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Accessories -> Cases, SC ,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,4.42,4.91,5.4,5.89,6.38,6.87,7.36,7.85,7.85,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Accessories -> Other, SC ,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,4.42,4.91,5.4,5.89,6.38,6.87,7.36,7.85,7.85,7.85,8.34,8.82,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Basic Mobile Phones (Non-Smart) -> Postpaid, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Basic Mobile Phones (Non-Smart) -> Prepaid, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Mobile Hotspot, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,22.25,24.19,26.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Smart Phones -> Apple iPhones, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Smart Phones -> LG, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Smart Phones -> Other, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Smart Phones -> Samsung, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Cellular Phones -> Smart Phones -> Google, SC&VAS ,,,,10.15,10.15,10.15,10.15,10.15,11.42,12.69,13.96,15.23,16.5,17.77,19.04,20.31,20.31,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Accessories,  ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Docks, SC&VAS ,,,,,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Keyboards & Mice, SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Other, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,4.95,5.09,5.22,5.45,5.69,5.92,6.15,6.38,6.58,6.79,6.99,7.19,7.4,7.6,7.8,8.0,8.21,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Pen / Stylus -> Non-Powered, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Pen / Stylus -> Powered, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Accessories -> Power Adapters & Chargers, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Components,  ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,21.21,22.12,23.02,23.93,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Cooling Components, SC ,,,,,,,,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,4.95,5.09,5.22,5.45,5.69,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> CPU/Processors, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> GPU/Graphics Cards, SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Internal/External Batteries, Not Accepted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Internal/External Storage, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Miscellaneous Components, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,4.95,5.09,5.22,5.45,5.69,5.92,6.15,6.38,6.58,6.79,6.99,7.19,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Motherboards, SC&VAS ,,,,,,,,,,,,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Network Adapters, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Optical Drives, SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> PSU/Power Supplies, SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> RAM/Memory, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Screens/Digitizers, SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Digitizers, Not Accepted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Components -> Tower/Cases, SC&VAS ,,,,,,,,,,,,,,,,,,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,21.21,22.12,23.02,23.93,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Software -> Games, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Computer Software -> Software, SC ,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.71,3.01,3.31,3.62,3.92,4.22,4.52,4.82,4.82,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> FlashDrives/SD/Storage Media, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Security & Surveillance, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,21.21,22.12,23.02,23.93,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Home, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,16.67,17.58,18.49,19.4,20.3,21.21,22.12,23.02,23.93,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Smart Home -> Digital Assistant -> Amazon, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Smart Home -> Digital Assistant -> Apple, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Smart Home -> Digital Assistant -> Google, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Smart Home -> Digital Assistant -> Other, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computers,  ,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,20.56,22.85,25.13,27.41,29.7,31.98,34.27,36.55,36.55,36.55,40.39,44.22,48.06,54.72,61.37,68.03,74.69,81.35,87.17,93.0,98.82,104.65,110.47,116.3,122.12,127.95,133.77,139.6,139.91,140.22,140.52,140.83,141.14,141.45,141.76,142.07,142.38,142.69,143.0,143.32,143.63,143.94,144.26,144.57,144.89,145.21,145.53,145.85,146.17,146.5,146.83,147.16,147.5,,,,,,,,,,
Electronics -> Computers -> Desktops, SC&VAS ,,,,,,,,,,,,,,,,,,,,,45.47,51.74,58.01,64.28,70.55,76.82,82.31,87.79,93.28,98.76,104.25,109.74,115.22,120.71,126.19,131.68,131.96,132.24,132.53,132.81,133.09,133.37,133.66,133.94,134.23,134.51,134.8,135.08,135.37,135.66,135.95,136.24,136.53,136.82,137.11,137.4,137.7,138.0,138.3,138.61,138.92,,,,,,,,,,
Electronics -> Computers -> All In One Computers, SC&VAS ,,,,,,,,,,,,,,,,,,,,,46.31,52.7,59.09,65.49,71.88,78.28,83.87,89.47,95.06,100.66,106.25,111.85,117.44,123.04,128.63,134.23,134.52,134.82,135.11,135.41,135.7,136.0,136.29,136.59,136.89,137.18,41.24,41.52,41.81,42.1,42.38,42.67,42.96,43.24,43.53,43.82,44.1,44.39,44.68,44.97,45.25,,,,,,,,,,
Electronics -> Computers -> Laptops, SC&VAS ,,,,,,,,,,,,,,,,,,22.27,24.44,26.61,28.78,32.54,36.31,40.07,43.83,47.6,50.89,54.19,57.48,60.78,64.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Computers -> Monitors, SC&VAS ,,,,,,,,,,,,,,,,,,,,,26.52,29.95,33.38,36.8,40.23,43.66,46.66,49.66,52.65,55.65,58.65,61.65,64.65,67.65,70.65,73.65,73.82,74.0,74.18,74.36,74.53,74.71,74.89,75.07,75.25,75.43,75.61,75.79,75.97,76.15,76.33,76.51,76.69,76.87,77.06,77.24,77.43,77.61,77.8,77.99,78.18,78.38,78.58,78.79,79.02,91.14,,,,,
Electronics -> Computers -> Networking, SC&VAS ,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,20.56,22.85,25.13,27.41,29.7,31.98,34.27,36.55,36.55,36.55,40.39,44.22,48.06,54.72,61.37,68.03,74.69,81.35,87.17,93.0,98.82,104.65,110.47,116.3,122.12,127.95,133.77,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Digital Picture Frames, SC&VAS ,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,11.62,12.66,13.7,14.73,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drone,  ,,,,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Drones & Quadcopters -> Accessories, SC ,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.06,3.39,3.73,4.07,4.41,4.75,5.09,5.43,5.43,5.43,5.64,5.84,6.05,6.4,6.76,7.11,7.47,7.82,8.13,8.44,8.76,9.07,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Drones & Quadcopters -> Drones & Quadcopters Vehicles, SC&VAS ,,,,,,,,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS,  ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> GPS & Navigation -> GPS Unit, SC&VAS ,,,,,,,,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> GPS & Navigation -> GPS Accessories, SC ,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.06,3.39,3.73,4.07,4.41,4.75,5.09,5.43,5.43,5.43,5.64,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headphones,  ,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,19.7,21.89,24.08,26.27,28.46,30.65,32.84,35.03,35.03,35.03,38.69,42.34,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Headphones & Portable Speakers -> Accessories, SC ,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,6.45,7.16,7.88,8.6,9.31,10.03,10.75,11.46,11.46,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Headphones & Portable Speakers -> In Ear Headphones, SC&VAS ,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,19.7,21.89,24.08,26.27,28.46,30.65,32.84,35.03,35.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Headphones & Portable Speakers -> Over Ear Headphones, SC&VAS ,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,19.7,21.89,24.08,26.27,28.46,30.65,32.84,35.03,35.03,35.03,38.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Headphones & Portable Speakers -> Portable Speakers, SC&VAS ,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,19.7,21.89,24.08,26.27,28.46,30.65,32.84,35.03,35.03,35.03,38.69,42.34,46.0,52.35,58.7,65.05,71.4,77.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Audio,  ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,42.93,51.99,61.05,70.11,79.17
Electronics -> Home Audio & Theater -> Accessories, SC ,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.06,3.39,3.73,4.07,4.41,4.75,5.09,5.43,5.43,5.43,5.64,5.84,6.05,6.4,6.76,7.11,7.47,7.82,8.13,8.44,8.76,9.07,9.38,9.69,10.0,10.31,10.62,10.93,10.99,11.05,11.11,11.17,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Home Audio & Theater -> Clock Radio, SC&VAS ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Home Audio & Theater -> DVD & Blu-ray Players, SC&VAS ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Home Audio & Theater -> Home Theatre In a Box, SC&VAS ,,,,,,,,,,,,,,,,,,,,,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,42.93,51.99,61.05,70.11,79.17
Electronics -> Home Audio & Theater -> Media Streaming Players (IPTV), SC&VAS ,,,,,,,,4.4,4.95,5.5,6.05,6.6,7.15,7.7,8.24,8.79,8.79,8.79,9.39,9.99,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics -> Home Audio & Theater -> Receivers, CD Players, Turntables", SC&VAS ,,,,,,,,,,,,,,,,,,,,,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,,,,,
Electronics -> Home Audio & Theater -> Receivers, SC&VAS ,,,,,,,,,,,,,,,,,,,,,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,,,,,
Electronics -> Home Audio & Theater -> Shelf Stereo System, SC&VAS ,,,,,,,,,,,,,,,,,,,,,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,,,,,
Electronics -> Home Audio & Theater -> Speakers, SC&VAS ,,,,,,,,,,,,,,,,,,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,27.9,27.96,28.02,28.08,28.14,28.2,28.27,28.33,28.39,28.45,28.51,28.58,28.64,28.7,28.76,28.83,28.89,28.95,29.02,29.08,29.14,29.21,29.27,29.34,29.4,29.47,29.54,29.61,29.69,33.87,42.93,51.99,61.05,70.11,79.17
Electronics -> Home Phones -> Accessories, SC ,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.06,3.39,3.73,4.07,4.41,4.75,5.09,5.43,5.43,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics -> Home Phones -> Cordless / Corded Phones, SC&VAS ,,,,,,,,,,,,,,,,,9.52,9.52,10.2,10.88,11.56,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Video,  ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics -> Portable Audio, Video Player -> Accessories", SC ,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.06,3.39,3.73,4.07,4.41,4.75,5.09,5.43,5.43,5.43,5.64,5.84,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics -> Portable Audio, Video Player -> Apple iPods", SC&VAS ,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,5.35,5.95,6.54,7.14,7.73,8.33,8.92,9.52,9.52,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics -> Portable Audio, Video Player -> Boombox", SC&VAS ,,,,,,,,,,,,,,,,,,9.52,10.2,10.88,11.56,12.75,13.93,15.11,16.3,17.48,18.52,19.55,20.59,21.62,22.66,23.69,24.73,25.76,26.8,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
